molecule_chembl_id,canonical_smiles,standard_value,bioactivityclass
CHEMBL14192,c1ccc(Cn2ccnc2)cc1,39060.0,inactive
CHEMBL386256,Brc1ccc(CCCn2ccnc2)cc1,2950.0,intermediate
CHEMBL215320,Brc1ccc(CCn2ccnc2)cc1,30660.0,inactive
CHEMBL213493,Clc1ccc(CCCn2ccnc2)cc1,5850.0,intermediate
CHEMBL379290,Clc1ccc(CCn2ccnc2)cc1,49640.0,inactive
CHEMBL214932,Fc1ccc(CCCn2ccnc2)cc1,27810.0,inactive
CHEMBL215425,Fc1ccc(CCn2ccnc2)cc1,120200.0,inactive
CHEMBL380271,c1ccc(CCCn2ccnc2)cc1,30950.0,inactive
CHEMBL403475,CCC(c1ccc(-c2ccsc2)cc1)n1ccnc1,562.0,active
CHEMBL254328,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC=C2c1cccnc1,220.0,active
CHEMBL273191,CC(c1ccc(-c2ccsc2)cc1)n1ccnc1,676.0,active
CHEMBL539453,Cc1ccc(S(=O)(=O)Oc2ccc(Cn3ccnc3)cc2)cc1,25160.0,inactive
CHEMBL549919,O=[N+]([O-])c1ccc(S(=O)(=O)Oc2ccc(Cn3ccnc3)cc2)cc1,6880.0,intermediate
CHEMBL560398,O=S(=O)(Oc1ccc(Cn2ccnc2)cc1)c1ccc(F)cc1,15930.0,inactive
CHEMBL549920,O=S(=O)(Oc1ccc(Cn2ccnc2)cc1)c1ccc(Cl)cc1,6850.0,intermediate
CHEMBL190231,O=S(=O)(Oc1ccc(Cn2ccnc2)cc1)c1ccc(Br)cc1,4840.0,intermediate
CHEMBL558136,O=S(=O)(Oc1ccc(Cn2ccnc2)cc1)c1ccc(I)cc1,10010.0,inactive
CHEMBL553870,COc1ccc(S(=O)(=O)Oc2ccc(Cn3ccnc3)cc2)cc1,6000.0,intermediate
CHEMBL560333,O=S(=O)(Oc1ccc(Cn2ccnc2)cc1)c1ccc(C(F)(F)F)cc1,64910.0,inactive
CHEMBL1222850,CCc1ccc(S(=O)(=O)Oc2ccc(Cn3ccnc3)cc2)cc1,20.0,active
CHEMBL1222922,CCCc1ccc(S(=O)(=O)Oc2ccc(Cn3ccnc3)cc2)cc1,30.0,active
CHEMBL1222923,CCCCc1ccc(S(=O)(=O)Oc2ccc(Cn3ccnc3)cc2)cc1,40.0,active
CHEMBL1222924,CCCCCc1ccc(S(=O)(=O)Oc2ccc(Cn3ccnc3)cc2)cc1,160.0,active
CHEMBL1222987,O=S(=O)(Oc1ccc(Cn2ccnc2)cc1)c1ccc(-c2ccccc2)cc1,10.0,active
CHEMBL1682893,CNC(=O)c1ccc2cc(C(O)(c3c[nH]cn3)C(C)C)ccc2c1,6.0,active
CHEMBL1682890,CNC(=O)Nc1ccc2cc(C(O)(c3c[nH]cn3)C(C)C)ccc2c1,11.0,active
CHEMBL1682894,CCNC(=O)c1ccc2cc(C(O)(c3c[nH]cn3)C(C)C)ccc2c1,11.0,active
CHEMBL1682896,CC(C)NC(=O)c1ccc2cc(C(O)(c3c[nH]cn3)C(C)C)ccc2c1,12.0,active
CHEMBL1682899,CNC(=O)c1cc2ccc(C(O)(c3c[nH]cn3)C(C)C)cc2cc1C,12.0,active
CHEMBL1682895,CCCNC(=O)c1ccc2cc(C(O)(c3c[nH]cn3)C(C)C)ccc2c1,13.0,active
CHEMBL1682888,CC(=O)c1ccc2cc(C(O)(c3c[nH]cn3)C(C)C)ccc2c1,14.0,active
CHEMBL1682901,CC(C)C(O)(c1ccc2c3c(ccc2c1)C(=O)N(C)C3)c1c[nH]cn1,15.0,active
CHEMBL1682887,COc1ccc2cc([C@](O)(c3c[nH]cn3)C(C)C)ccc2c1,21.0,active
CHEMBL1682889,CC(=O)Nc1ccc2cc(C(O)(c3c[nH]cn3)C(C)C)ccc2c1,29.0,active
CHEMBL1682902,CC(C)C(O)(c1ccc2cc3c(cc2c1)CNC3=O)c1c[nH]cn1,42.0,active
CHEMBL1682891,COC(=O)c1ccc2cc(C(O)(c3c[nH]cn3)C(C)C)ccc2c1,43.0,active
CHEMBL1682903,CC(C)C(O)(c1ccc2cc3c(cc2c1)CN(C)C3=O)c1c[nH]cn1,70.0,active
CHEMBL1682897,CNC(=O)c1ccc2cc(C(O)(c3c[nH]cn3)C(C)C)ccc2c1Cl,91.0,active
CHEMBL1682905,CC(C)[C@@](O)(c1ccc2c3c(ccc2c1)C(=O)N(C)C3)c1c[nH]cn1,110.0,active
CHEMBL1682900,CC(C)C(O)(c1ccc2c3c(ccc2c1)C(=O)NC3)c1c[nH]cn1,180.0,active
CHEMBL1682898,CNC(=O)c1ccc2cc(C(O)(c3c[nH]cn3)C(C)C)ccc2c1C,200.0,active
CHEMBL1682892,CC(C)C(O)(c1ccc2cc(C(N)=O)ccc2c1)c1c[nH]cn1,10.0,active
CHEMBL1682904,CC(C)[C@](O)(c1ccc2c3c(ccc2c1)C(=O)N(C)C3)c1c[nH]cn1,10.0,active
CHEMBL1766169,CC(C)C(O)(c1cccc(-c2ccccc2)c1)c1c[nH]cn1,15.0,active
CHEMBL1765101,COc1ccc(-c2cccc(C(O)(c3c[nH]cn3)C(C)C)c2)cc1,10.0,active
CHEMBL1766170,CC(C)C(O)(c1cccc(-c2ccc(F)cc2)c1)c1c[nH]cn1,8.3,active
CHEMBL1766171,CC(C)C(O)(c1cccc(-c2ccc(Cl)cc2)c1)c1c[nH]cn1,19.0,active
CHEMBL1766172,CC(C)C(O)(c1ccc(-c2ccccc2)cc1)c1c[nH]cn1,33.0,active
CHEMBL1766173,COc1ccc(-c2ccc(C(O)(c3c[nH]cn3)C(C)C)cc2)cc1,120.0,active
CHEMBL1766174,CC(C)C(O)(c1ccc(-c2ccc(F)cc2)cc1)c1c[nH]cn1,28.0,active
CHEMBL1766175,CC(C)C(O)(c1ccc(-c2ccc(Cl)cc2)cc1)c1c[nH]cn1,29.0,active
CHEMBL1766176,CC(=O)Nc1cccc(-c2ccc(C(O)(c3c[nH]cn3)C(C)C)cc2)c1,17.0,active
CHEMBL1766177,CC(=O)Nc1ccc(-c2ccc(C(O)(c3c[nH]cn3)C(C)C)cc2)cc1,24.0,active
CHEMBL1766178,CNC(=O)c1cccc(-c2ccc(C(O)(c3c[nH]cn3)C(C)C)cc2)c1,49.0,active
CHEMBL1766179,CNS(=O)(=O)c1cccc(-c2ccc(C(O)(c3c[nH]cn3)C(C)C)cc2)c1,71.0,active
CHEMBL1766180,CNC(=O)Nc1cccc(-c2ccc(C(O)(c3c[nH]cn3)C(C)C)cc2)c1,24.0,active
CHEMBL1766181,CC(C)C(O)(c1ccc(-c2ccccn2)cc1)c1c[nH]cn1,210.0,active
CHEMBL1766182,CC(=O)Nc1cccc(-c2ccc(C(O)(c3c[nH]cn3)C(C)C)cc2)n1,53.0,active
CHEMBL1766183,CC(=O)Nc1cccc(-c2ccc(C(C)(O)c3c[nH]cn3)cc2)c1,62.0,active
CHEMBL1766184,CCC(O)(c1ccc(-c2cccc(NC(C)=O)c2)cc1)c1c[nH]cn1,25.0,active
CHEMBL1766185,CC(=O)Nc1cccc(-c2ccc(C(O)(c3c[nH]cn3)C3CC3)cc2)c1,81.0,active
CHEMBL1766186,CC(=O)Nc1cccc(-c2ccc(C(O)c3c[nH]cn3)cc2)c1,320.0,active
CHEMBL1766187,CC(=O)Nc1cccc(-c2ccc([C@](O)(c3c[nH]cn3)C(C)C)cc2)c1,14.0,active
CHEMBL1766188,CC(=O)Nc1cccc(-c2ccc([C@@](O)(c3c[nH]cn3)C(C)C)cc2)c1,770.0,active
CHEMBL1766189,CC(=O)Nc1cccc(-c2ccc([C@](O)(c3c[nH]cn3)C(C)C)cc2)n1,33.0,active
CHEMBL1766190,CC(=O)Nc1cccc(-c2ccc([C@@](O)(c3c[nH]cn3)C(C)C)cc2)n1,1000.0,active
CHEMBL1766191,CC[C@](O)(c1ccc(-c2cccc(NC(C)=O)c2)cc1)c1c[nH]cn1,19.0,active
CHEMBL1766192,CC[C@@](O)(c1ccc(-c2cccc(NC(C)=O)c2)cc1)c1c[nH]cn1,450.0,active
CHEMBL1921977,CNC(=O)c1ccc2cc(C3(O)CCn4cncc43)ccc2c1,54.0,active
CHEMBL1921978,CNC(=O)c1ccc2cc(C3(O)c4cncn4CC3(C)C)ccc2c1,110.0,active
CHEMBL1921979,CNC(=O)c1ccc2cc(C3CCn4cncc43)ccc2c1,15.0,active
CHEMBL1921980,CNC(=O)c1ccc2cc(C(C)(O)c3cncn3C)ccc2c1,1000.0,active
CHEMBL1921981,NC(=O)c1ccc2cc(C3(O)CCn4cncc43)ccc2c1,24.0,active
CHEMBL1921982,CCNC(=O)c1ccc2cc(C3(O)CCn4cncc43)ccc2c1,110.0,active
CHEMBL1921983,O=C(NC1CC1)c1ccc2cc(C3(O)CCn4cncc43)ccc2c1,100.0,active
CHEMBL1921984,CC(C)NC(=O)c1ccc2cc(C3(O)CCn4cncc43)ccc2c1,160.0,active
CHEMBL1921976,CNC(=O)c1ccc2cc([C@@]3(O)CCn4cncc43)ccc2c1,48.0,active
